variety_id,prime_name,color,species,origin_country,is_vinifera,classification,fps_variety_id,vivc_number,needs_review,source,notes
barbera,Barbera,red,Vitis vinifera,Italy,1,curated_v1,,,0,curated_v1,
dolcetto,Dolcetto,red,Vitis vinifera,Italy,1,curated_v1,,,0,curated_v1,
sangiovese,Sangiovese,red,Vitis vinifera,Italy,1,curated_v1,,,0,curated_v1,
montepulciano,Montepulciano,red,Vitis vinifera,Italy,1,curated_v1,,,0,curated_v1,
aglianico,Aglianico,red,Vitis vinifera,Italy,1,curated_v1,,,0,curated_v1,
primitivo,Primitivo,red,Vitis vinifera,Croatia,1,curated_v1,,,0,curated_v1,syn. Zinfandel/Tribidrag
corvina,Corvina Veronese,red,Vitis vinifera,Italy,1,curated_v1,,,0,curated_v1,Valpolicella
garganega,Garganega,white,Vitis vinifera,Italy,1,curated_v1,,,0,curated_v1,Soave
glera,Glera,white,Vitis vinifera,Italy,1,curated_v1,,,0,curated_v1,Prosecco
vermentino,Vermentino,white,Vitis vinifera,Italy,1,curated_v1,,,0,curated_v1,
cortese,Cortese,white,Vitis vinifera,Italy,1,curated_v1,,,0,curated_v1,Gavi
arneis,Arneis,white,Vitis vinifera,Italy,1,curated_v1,,,0,curated_v1,
fiano,Fiano,white,Vitis vinifera,Italy,1,curated_v1,,,0,curated_v1,
greco,Greco,white,Vitis vinifera,Italy,1,curated_v1,,,0,curated_v1,
lagrein,Lagrein,red,Vitis vinifera,Italy,1,curated_v1,,,0,curated_v1,Alto Adige
teroldego,Teroldego,red,Vitis vinifera,Italy,1,curated_v1,,,0,curated_v1,Trentino
schiava,Schiava,red,Vitis vinifera,Italy,1,curated_v1,,,0,curated_v1,Vernatsch; Alto Adige
ribolla-gialla,Ribolla Gialla,white,Vitis vinifera,Italy,1,curated_v1,,,0,curated_v1,Friuli/Slovenia
friulano,Friulano,white,Vitis vinifera,Italy,1,curated_v1,,,0,curated_v1,Sauvignonasse
tempranillo,Tempranillo,red,Vitis vinifera,Spain,1,curated_v1,,,0,curated_v1,syn. Tinta Roriz/Aragonez
albarino,Albarino,white,Vitis vinifera,Spain,1,curated_v1,,,0,curated_v1,syn. Alvarinho
verdejo,Verdejo,white,Vitis vinifera,Spain,1,curated_v1,,,0,curated_v1,Rueda
godello,Godello,white,Vitis vinifera,Spain,1,curated_v1,,,0,curated_v1,
mencia,Mencia,red,Vitis vinifera,Spain,1,curated_v1,,,0,curated_v1,
bobal,Bobal,red,Vitis vinifera,Spain,1,curated_v1,,,0,curated_v1,
macabeo,Macabeo,white,Vitis vinifera,Spain,1,curated_v1,,,0,curated_v1,syn. Viura
xarel-lo,Xarel-lo,white,Vitis vinifera,Spain,1,curated_v1,,,0,curated_v1,Cava
parellada,Parellada,white,Vitis vinifera,Spain,1,curated_v1,,,0,curated_v1,Cava
palomino,Palomino Fino,white,Vitis vinifera,Spain,1,curated_v1,,,0,curated_v1,Sherry
pedro-ximenez,Pedro Ximenez,white,Vitis vinifera,Spain,1,curated_v1,,,0,curated_v1,
touriga-nacional,Touriga Nacional,red,Vitis vinifera,Portugal,1,curated_v1,,,0,curated_v1,
touriga-franca,Touriga Franca,red,Vitis vinifera,Portugal,1,curated_v1,,,0,curated_v1,
baga,Baga,red,Vitis vinifera,Portugal,1,curated_v1,,,0,curated_v1,Bairrada
encruzado,Encruzado,white,Vitis vinifera,Portugal,1,curated_v1,,,0,curated_v1,Dao
arinto,Arinto,white,Vitis vinifera,Portugal,1,curated_v1,,,0,curated_v1,
loureiro,Loureiro,white,Vitis vinifera,Portugal,1,curated_v1,,,0,curated_v1,Vinho Verde
furmint,Furmint,white,Vitis vinifera,Hungary,1,curated_v1,,,0,curated_v1,Tokaj
harslevelu,Harslevelu,white,Vitis vinifera,Hungary,1,curated_v1,,,0,curated_v1,Tokaj
kadarka,Kadarka,red,Vitis vinifera,Hungary,1,curated_v1,,,0,curated_v1,
assyrtiko,Assyrtiko,white,Vitis vinifera,Greece,1,curated_v1,,,0,curated_v1,Santorini
agiorgitiko,Agiorgitiko,red,Vitis vinifera,Greece,1,curated_v1,,,0,curated_v1,Nemea
xinomavro,Xinomavro,red,Vitis vinifera,Greece,1,curated_v1,,,0,curated_v1,Naoussa
moschofilero,Moschofilero,rose,Vitis vinifera,Greece,1,curated_v1,,,0,curated_v1,Mantinia
muscat-blanc,Muscat blanc a Petits Grains,white,Vitis vinifera,Greece,1,curated_v1,,,0,curated_v1,
muscat-alexandria,Muscat of Alexandria,white,Vitis vinifera,Egypt,1,curated_v1,,,0,curated_v1,
saperavi,Saperavi,red,Vitis vinifera,Georgia,1,curated_v1,,,0,curated_v1,teinturier; Kakheti
rkatsiteli,Rkatsiteli,white,Vitis vinifera,Georgia,1,curated_v1,,,0,curated_v1,Kakheti
mtsvane-kakhuri,Mtsvane Kakhuri,white,Vitis vinifera,Georgia,1,curated_v1,,,0,curated_v1,Kakheti
kisi,Kisi,white,Vitis vinifera,Georgia,1,curated_v1,,,0,curated_v1,Kakheti
khikhvi,Khikhvi,white,Vitis vinifera,Georgia,1,curated_v1,,,0,curated_v1,Kakheti
chinuri,Chinuri,white,Vitis vinifera,Georgia,1,curated_v1,,,0,curated_v1,Kartli
tsolikouri,Tsolikouri,white,Vitis vinifera,Georgia,1,curated_v1,,,0,curated_v1,Imereti
tsitska,Tsitska,white,Vitis vinifera,Georgia,1,curated_v1,,,0,curated_v1,Imereti
aleksandrouli,Aleksandrouli,red,Vitis vinifera,Georgia,1,curated_v1,,,0,curated_v1,Racha
ojaleshi,Ojaleshi,red,Vitis vinifera,Georgia,1,curated_v1,,,0,curated_v1,Lechkhumi
areni-noir,Areni noir,red,Vitis vinifera,Armenia,1,curated_v1,,,0,curated_v1,Vayots Dzor
voskehat,Voskehat,white,Vitis vinifera,Armenia,1,curated_v1,,,0,curated_v1,
khndoghni,Khndoghni,red,Vitis vinifera,Armenia,1,curated_v1,,,0,curated_v1,syn. Sireni
bayanshira,Bayanshira,white,Vitis vinifera,Azerbaijan,1,curated_v1,,,0,curated_v1,
madrasa,Madrasa,red,Vitis vinifera,Azerbaijan,1,curated_v1,,,0,curated_v1,
