region_id,variety_id,role,evidence,bearing_ha,source
jura,pinot-noir,minor,grown_over_1_acre,,curated_v1
savoie,gamay,principal,grown_over_1_acre,,curated_v1
savoie,pinot-noir,minor,grown_over_1_acre,,curated_v1
savoie,chardonnay,minor,grown_over_1_acre,,curated_v1
mosel,riesling,signature,principal,,curated_v1
mosel,muller-thurgau,minor,grown_over_1_acre,,curated_v1
mosel,pinot-noir,minor,grown_over_1_acre,,curated_v1
rheingau,riesling,signature,principal,,curated_v1
rheingau,pinot-noir,principal,grown_over_1_acre,,curated_v1
pfalz,riesling,signature,principal,,curated_v1
pfalz,muller-thurgau,principal,grown_over_1_acre,,curated_v1
pfalz,pinot-noir,principal,grown_over_1_acre,,curated_v1
pfalz,gewurztraminer,minor,grown_over_1_acre,,curated_v1
baden,pinot-noir,signature,principal,,curated_v1
baden,pinot-gris,principal,grown_over_1_acre,,curated_v1
baden,muller-thurgau,principal,grown_over_1_acre,,curated_v1
baden,gewurztraminer,minor,grown_over_1_acre,,curated_v1
wachau,gruner-veltliner,signature,principal,,curated_v1
wachau,riesling,signature,principal,,curated_v1
kamptal,gruner-veltliner,signature,principal,,curated_v1
kamptal,riesling,principal,grown_over_1_acre,,curated_v1
burgenland,blaufrankisch,signature,principal,,curated_v1
burgenland,zweigelt,principal,grown_over_1_acre,,curated_v1
burgenland,welschriesling,principal,grown_over_1_acre,,curated_v1
burgenland,st-laurent,minor,grown_over_1_acre,,curated_v1
piedmont,nebbiolo,signature,principal,,curated_v1
piedmont,barbera,signature,principal,,curated_v1
piedmont,dolcetto,principal,grown_over_1_acre,,curated_v1
piedmont,cortese,principal,grown_over_1_acre,,curated_v1
piedmont,arneis,minor,grown_over_1_acre,,curated_v1
piedmont,muscat-blanc,principal,grown_over_1_acre,,curated_v1
veneto,garganega,signature,principal,,curated_v1
veneto,corvina,signature,principal,,curated_v1
veneto,glera,principal,principal,,curated_v1
veneto,pinot-gris,principal,grown_over_1_acre,,curated_v1
tuscany,sangiovese,signature,principal,,curated_v1
tuscany,cabernet-sauvignon,principal,grown_over_1_acre,,curated_v1
tuscany,merlot,principal,grown_over_1_acre,,curated_v1
tuscany,vermentino,minor,grown_over_1_acre,,curated_v1
alto-adige,pinot-gris,principal,principal,,curated_v1
alto-adige,gewurztraminer,signature,principal,,curated_v1
alto-adige,lagrein,signature,grown_over_1_acre,,curated_v1
alto-adige,schiava,principal,grown_over_1_acre,,curated_v1
alto-adige,pinot-noir,principal,grown_over_1_acre,,curated_v1
alto-adige,chardonnay,minor,grown_over_1_acre,,curated_v1
friuli,friulano,signature,principal,,curated_v1
friuli,ribolla-gialla,principal,grown_over_1_acre,,curated_v1
friuli,pinot-gris,principal,grown_over_1_acre,,curated_v1
friuli,sauvignon-blanc,principal,grown_over_1_acre,,curated_v1
puglia,primitivo,signature,principal,,curated_v1
rioja,tempranillo,signature,principal,,curated_v1
rioja,grenache-noir,principal,grown_over_1_acre,,curated_v1
rioja,macabeo,minor,grown_over_1_acre,,curated_v1
ribera-del-duero,tempranillo,signature,principal,,curated_v1
priorat,grenache-noir,signature,principal,,curated_v1
priorat,carignan,signature,principal,,curated_v1
rias-baixas,albarino,signature,principal,,curated_v1
jerez,palomino,signature,principal,,curated_v1
jerez,pedro-ximenez,principal,grown_over_1_acre,,curated_v1
jerez,muscat-alexandria,minor,grown_over_1_acre,,curated_v1
douro,touriga-nacional,signature,principal,,curated_v1
douro,touriga-franca,principal,principal,,curated_v1
douro,tempranillo,principal,grown_over_1_acre,,curated_v1
vinho-verde,loureiro,signature,principal,,curated_v1
vinho-verde,albarino,principal,grown_over_1_acre,,curated_v1
vinho-verde,arinto,principal,grown_over_1_acre,,curated_v1
dao,touriga-nacional,signature,principal,,curated_v1
dao,encruzado,signature,grown_over_1_acre,,curated_v1
tokaj,furmint,signature,principal,,curated_v1
tokaj,harslevelu,principal,grown_over_1_acre,,curated_v1
tokaj,muscat-blanc,minor,grown_over_1_acre,,curated_v1
eger,kadarka,principal,grown_over_1_acre,,curated_v1
eger,blaufrankisch,principal,grown_over_1_acre,,curated_v1
santorini,assyrtiko,signature,principal,,curated_v1
nemea,agiorgitiko,signature,principal,,curated_v1
naoussa,xinomavro,signature,principal,,curated_v1
kakheti,saperavi,signature,principal,,curated_v1
kakheti,rkatsiteli,signature,principal,,curated_v1
kakheti,mtsvane-kakhuri,principal,grown_over_1_acre,,curated_v1
kakheti,kisi,principal,grown_over_1_acre,,curated_v1
kakheti,khikhvi,minor,grown_over_1_acre,,curated_v1
kartli,chinuri,signature,principal,,curated_v1
kartli,rkatsiteli,principal,grown_over_1_acre,,curated_v1
imereti,tsolikouri,signature,principal,,curated_v1
imereti,tsitska,principal,grown_over_1_acre,,curated_v1
racha,aleksandrouli,signature,principal,,curated_v1
vayots-dzor,areni-noir,signature,principal,,curated_v1
aragatsotn,voskehat,signature,principal,,curated_v1
aragatsotn,areni-noir,principal,grown_over_1_acre,,curated_v1
ganja-azerbaijan,bayanshira,principal,grown_over_1_acre,,curated_v1
ganja-azerbaijan,madrasa,principal,grown_over_1_acre,,curated_v1
napa,cabernet-sauvignon,signature,principal,,curated_v1
napa,chardonnay,principal,principal,,curated_v1
napa,merlot,principal,grown_over_1_acre,,curated_v1
napa,sauvignon-blanc,principal,grown_over_1_acre,,curated_v1
napa,primitivo,minor,grown_over_1_acre,,curated_v1
willamette,pinot-noir,signature,principal,,curated_v1
willamette,pinot-gris,principal,grown_over_1_acre,,curated_v1
willamette,chardonnay,principal,grown_over_1_acre,,curated_v1
finger-lakes,riesling,signature,principal,,curated_v1
finger-lakes,cabernet-franc,principal,grown_over_1_acre,,curated_v1
finger-lakes,chardonnay,principal,grown_over_1_acre,,curated_v1
finger-lakes,gewurztraminer,minor,grown_over_1_acre,,curated_v1
mendoza,malbec,signature,principal,,curated_v1
mendoza,cabernet-sauvignon,principal,grown_over_1_acre,,curated_v1
mendoza,chardonnay,principal,grown_over_1_acre,,curated_v1
barossa,syrah,signature,principal,,curated_v1
barossa,grenache-noir,principal,grown_over_1_acre,,curated_v1
barossa,mourvedre,minor,grown_over_1_acre,,curated_v1
marlborough,sauvignon-blanc,signature,principal,,curated_v1
marlborough,pinot-noir,principal,grown_over_1_acre,,curated_v1
marlborough,chardonnay,principal,grown_over_1_acre,,curated_v1
